date,1 AUD,1 BGN,1 BRL,1 CAD,1 CHF,1 CNY,1 DKK,1 EUR,1 GBP,1 HKD,1 ILS,1 MXN,1 MYR,1 NOK,1 NZD,1 PLN,1 RON,1 SEK,1 SGD,1 TRY,1 USD,1 XDR,1 ZAR,100 HUF,100 INR,100 ISK,100 JPY,100 KRW,100 PHP,100 THB,1000 IDR
2023-01-02,15.400,12.385,4.237,16.668,24.496,3.281,3.250,24.175,27.272,2.899,6.447,1.160,5.137,2.299,14.317,5.164,4.894,2.165,16.878,1.209,22.630,30.118,1.330,6.028,27.341,15.936,17.317,1.781,40.541,65.491,1.453
2023-01-03,15.358,12.335,4.259,16.738,24.422,3.311,3.244,24.125,27.401,2.928,6.483,1.175,5.192,2.292,14.251,5.152,4.893,2.165,17.006,1.221,22.878,30.447,1.339,5.980,27.600,15.903,17.485,1.792,40.876,66.548,1.467
2023-01-04,15.550,12.284,4.161,16.729,24.409,3.293,3.230,24.025,27.276,2.900,6.426,1.175,5.152,2.237,14.323,5.147,4.877,2.152,16.907,1.210,22.672,30.148,1.347,6.069,27.372,15.837,17.316,1.781,40.501,66.658,1.454
2023-01-05,15.483,12.280,4.209,16.795,24.400,3.300,3.231,24.030,27.218,2.904,6.427,1.170,5.168,2.241,14.275,5.146,4.880,2.148,16.914,1.208,22.676,30.267,1.326,6.053,27.481,15.778,17.047,1.786,40.617,66.846,1.453
2023-01-06,15.430,12.299,4.294,16.786,24.387,3.340,3.235,24.055,27.189,2.933,6.440,1.187,5.203,2.226,14.241,5.124,4.879,2.137,16.993,1.221,22.911,30.549,1.320,6.057,27.679,15.733,17.026,1.799,41.205,67.322,1.466
2023-01-09,15.534,12.267,4.249,16.778,24.312,3.308,3.226,23.990,27.248,2.873,6.423,1.171,5.126,2.261,14.328,5.109,4.871,2.143,16.842,1.195,22.430,29.749,1.318,6.040,27.236,15.629,16.974,1.803,40.700,67.030,1.441
2023-01-10,15.355,12.263,4.248,16.676,24.208,3.299,3.225,23.985,27.152,2.864,6.441,1.168,5.115,2.246,14.209,5.108,4.861,2.142,16.784,1.191,22.368,29.951,1.310,6.010,27.348,15.504,16.901,1.792,40.825,66.587,1.436
2023-01-11,15.415,12.284,4.309,16.651,24.106,3.301,3.230,24.025,27.095,2.861,6.477,1.172,5.115,2.238,14.206,5.134,4.870,2.131,16.785,1.191,22.357,29.990,1.314,6.021,27.361,15.570,16.848,1.792,40.686,66.928,1.444
2023-01-12,15.438,12.288,4.327,16.646,23.902,3.307,3.231,24.035,27.099,2.857,6.515,1.180,5.119,2.241,14.187,5.123,4.861,2.132,16.798,1.188,22.312,29.931,1.325,6.014,27.379,15.577,17.093,1.793,40.536,67.041,1.455
2023-01-13,15.408,12.278,4.326,16.569,23.893,3.303,3.228,24.015,27.043,2.843,6.485,1.175,5.121,2.245,14.117,5.122,4.859,2.134,16.782,1.182,22.206,29.850,1.316,6.052,27.256,15.564,17.275,1.788,40.399,67.163,1.466
2023-01-16,15.443,12.269,4.341,16.565,23.932,3.297,3.226,23.995,27.035,2.841,6.489,1.179,5.142,2.243,14.160,5.113,4.866,2.129,16.793,1.181,22.191,29.922,1.301,6.015,27.178,15.531,17.273,1.790,40.710,67.219,1.475
2023-01-17,15.353,12.252,4.310,16.475,23.972,3.262,3.222,23.965,27.051,2.826,6.473,1.175,5.108,2.231,14.135,5.104,4.856,2.124,16.709,1.176,22.100,29.800,1.288,5.999,27.055,15.511,17.178,1.783,40.313,66.813,1.457
2023-01-18,15.546,12.249,4.333,16.516,24.179,3.274,3.220,23.955,27.367,2.825,6.557,1.185,5.124,2.248,14.359,5.099,4.850,2.144,16.777,1.176,22.103,29.811,1.303,6.047,27.180,15.505,17.137,1.792,40.489,67.240,1.465
2023-01-19,15.214,12.231,4.248,16.383,24.114,3.259,3.216,23.925,27.296,2.825,6.474,1.164,5.135,2.227,14.093,5.084,4.856,2.145,16.698,1.177,22.120,29.857,1.280,6.035,27.161,15.485,17.210,1.785,40.479,66.815,1.465
2023-01-20,15.313,12.230,4.251,16.403,24.008,3.259,3.215,23.920,27.301,2.822,6.494,1.168,5.156,2.233,14.194,5.078,4.856,2.142,16.715,1.175,22.097,29.812,1.288,6.042,27.241,15.502,16.979,1.790,40.575,67.473,1.466
2023-01-23,15.377,12.210,4.238,16.445,23.850,3.239,3.210,23.880,27.143,2.807,6.505,1.169,5.127,2.236,14.235,5.067,4.853,2.148,16.665,1.168,21.971,29.621,1.280,6.025,27.003,15.436,16.858,1.788,40.247,67.044,1.457
